"@jlesnewski","@_haileyfloyd Brought to you by Diabetes "
"@ItdBeKelsey","Everyone be nice to seor. He was in the hospital yesterday for his diabetes. "
"@All_Age_Health","Affordable nutrition supplements,  Weight loss supplements, Tell a friend. "
"@KasidyGochis","@ktraewitte but I could end up with diabetes as an old woman in a nursing home"
"@ADARichmond","Do you have questions about caring for a loved one with #diabetes? Check out our online community message boards "
"@LoriGallucci","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@Jake_Darrow","RT @jlesnewski: @Jake_Darrow Brought to you by Diabetes "
"@CarsieLJones","RT @Primax_Donna: diabetes? @DoltYourseIf: Cinnabon pancakes. I know what Im praying for tonight  "
"@Primax_Donna","diabetes? @DoltYourseIf: Cinnabon pancakes. I know what Im praying for tonight  "
"@BasedGodEcho","Inb4 Killa beats haggy, haggy goes into a deep depresion, eats so much he gets diabetes dies, his gravestone says Im sitting here watchin"
"@DiabetoDevice","RT @khuckabay: PLEASE HELP US SEND A DESERVING CHILD TO DIABETES CAMP. The Kansas City Type 1 Diabetes Foundation is STRIVING to... "
"@DejaJamaisVu","Bruhhh who wanna buy a ticket, this is like the golden ticket from willy wonka without the diabetes. Help a nigga out "
"@sariweather","RT @SocialJerkBlog: Why are female comedians supposed to be hot? Male comedians almost always look like everyones uncle who doesnt take c"
"@anasaurs23","RT @b_roa22: @TheWeirdWorld: Why not make a waffle into a sandwich..  @anasaurs23 we gotta do this with Adam #diabe"
"@SoyMuyGuapo32","RT @DogeEater: Dayton had diabetes from the chicken "
"@christigrotts","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@Clauranatalie","Last night I drank American beer.If you sent that beer out to be analyzed, the lab would probably phone up and say,Your horse has diabetes"
"@DogeEater","Dayton had diabetes from the chicken "
"@mom_the_pirate","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@_HurricaneNyah","My sister is on the verge of diabetes and my mom just lets her eat whatever she wants, it really pisses me tf off"
"@ktraewitte","@KasidyGochis: Athens is eating all of my raisin bran :( #Stahp but he has diabetes"
"@The300tyG0D","RT @BigRod96: You gotta be able to taste the diabetes"
"@jlesnewski","@Jake_Darrow Brought to you by Diabetes "
"@SocialJerkBlog","Why are female comedians supposed to be hot? Male comedians almost always look like everyones uncle who doesnt take care of his diabetes."
"@jlesnewski","@blaisdell78 Brother to you by Diabetes "
"@sparhawk",".@sparhawk bump on porters tummy was made of fat cells. Hell probably live until forever, or until he gets diabetes. #fatcat"
"@J_Finesse12","Now she tryna give me diabetes"
"@KateWhineHall","RT @Go2Slp: You guys.I just saw a bake sale to benefit a childhood diabetes foundation.The struggle is real."
"@khuckabay","PLEASE HELP US SEND A DESERVING CHILD TO DIABETES CAMP. The Kansas City Type 1 Diabetes Foundation is STRIVING to... "
"@gordonabishop","@adneruf i am. Reveals my type 1 diabetes tru self"
"@MaddieMaeDavis","I told my mom about the cut on my foot that wont heal &amp; she casually responds get that looked at, theres a lot diabetes in our family"
"@_TianaCooks","RT @diabetesaur: The worst part of diabetes is when youre not hungry but you know you have to eat so you weigh the options of either eatin"
"@Diabetes_bio","News: Recipe for Poor Wound Healing Bacterial Infection Plus Stress "
"@servantofseitan","...so I thought Id just try WebMD to see if strep has symptoms like mine...apparently I could have anything from diabetes to cancer."
"@BigRod96","You gotta be able to taste the diabetes"
"@HannahTadlock","  &amp;  (diabetes) "
