"@based_marina","RT @CharlesLapuz: @based_marina operation diabetes."
"@CharlesLapuz","@based_marina operation diabetes."
"@MyckaelDE","@sidvici0us_ why that look like diabetes on a rock?"
"@aubzzilla","RT @marco_calatrava: When I was growing up the girls would say Drink more Pepsi to get more sexyYears later everyone getting diabetes. h"
"@mstorabby","Like im legit sad , im scared of diabetes..ima scary person period"
"@rev8diabetes","RT @hqllie: having sweaty hands isnt even that bad at least you dont have diabetes or a tumor or something"
"@yung_rigz","Me n my nigga @SnapCapone in da 5 series , take a , no insulin no diabetes"
"@destroysuperman","@ashleymiano #diabetes"
"@MagsForCharity","Diabetes Daily is out!  Stories via @MDT_Diabetes @DiabeticLiving @Diabetescouk"
"@aiLeenh_","I PLAYED KOUJAKUS ROUTE FIRST THO SO CUTE I GOT DIABETES"
"@TN00_","real talk just a big ass box of assorted chocolates so i can just grt diabetes and die ...... best way to die"
"@thekokotaylor","RT @jizziemcguire: I know the feeling bud  @nickjonas: Things to be grateful for.. My last diabetes check up I had my best numbers ever."
"@5secsofimnotok","Im eating straight up chocolate chips and peanut butter melted and mixed with mini marshmallow.  I can physically feel the diabetes."
"@ThatboiLuie","what is the scariest thing that has every happened to...  Almost getting killed And the best thing ?  My diabetes "
"@Maa_Ke_Pakode","Too much bitterness never caused diabetes."
"@Lucarri_","RT @CapnWontSaveAHo: Fuck you mean I got diabetes? "
"@sayuri1475","I need to get back on the bandwagon otherwise Im going to get #diabetes"
"@gimme_timi","My throat hurts...according to WebMD I have either acid reflux or diabetes who needs to seek medical help immediately"
"@Christian19065","RT @hqllie: having sweaty hands isnt even that bad at least you dont have diabetes or a tumor or something"
"@broomem","New York diabetes breakthrough?  @SumerSloan @lynncollins7 @Moonblood @TamithaSkov @kellylynch "
"@codyfranta","Hi, my name is Scott Malkinson and I have diabetes and a lisp."
"@Addi_Vaughn","Diabetes cant stop me from shining bright like a diamond @jay_sosa15 that doesnt make sense"
"@Mr_ibraheem_","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@DogaBetix","RT @MorganoXC: I never knew what diabetes was until now when my dog was diagnosed with it today and I have to give her 2 shots a day"
"@MKsmn515","Holy diabetes socks RT @bustedcoverage: Spectacular baseball game selfie (from @EFQZ) "
"@hanatoku","UCLA pilots mobile vision testing app for patients with diabetes | mobihealthnews "
"@ritesh620","RT @Shonz2013: Avoid Diabetes!!!! Stop playing Candy Crush!!!! "
"@brknews_atl","31 Healthy Ways People With Diabetes Can Enjoy Carbs ..BusinessNews Atlanta "
"@yomamaisdurty","RT @YxngKyoto: @CapnWontSaveAHo: Fuck you mean I got diabetes?  YALL NIGGAS KILLING MEEE !"
"@Shonz2013","Avoid Diabetes!!!! Stop playing Candy Crush!!!! "
"@___fckinloyal","I get tested for diabetes at my next appointment "
"@TheBearyBest37","@annachristine97 yeah you get sick of it after making so many of the disgusting diabetes enriched drinks "
"@AskAppDev","RT @Paul_Sonnier: .@Voluntis raises $29M to bring #diabetes app to US  HT @Christianassad #DigitalHealth #mHealth"
"@colleengreene","#healthy chicken and barley soup for my new #diabetes diet. "
"@hqllie","having sweaty hands isnt even that bad at least you dont have diabetes or a tumor or something"
"@sunnyroller","RT @Christianassad: Voluntis raises $29M to bring diabetes app to US "
"@khuckabay","PLEASE HELP US SEND A DESERVING CHILD TO DIABETES CAMP.  $25.00  #T1D #diabetescamp #fundraiser #diabetes"
"@colty73","This night time low shit is really a pain in the ass when I want to sleep. #diabetes #sucks #needacure"
"@_lyssorlando","@Diego_Avila10 @Eating dude idgaf about diabetes it looks AMAZING"
"@KelseyReckinger","RT @type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@Alvino_305","@DeejayCombs @LordAbstract @ItsFoodPorn diabetes on a plater lol."
"@ShantayZ","Im getting diabetes physically and mentally today"
"@deidralanae","Like seriously I figured by now I could have my blood sugar all under control. Lol no. I suck at having diabetes lol"
"@natacarol13","RT @EverydayHealth: 7 Foods That Spike Blood Sugar "
"@annekatch","RT @type1girl: but really my endos, family, and friends are the ones that make living with diabetes easier. thank you for supporting me"
"@wifeoftremaine","RT @type1girl: i would give anything to have a cure for diabetes."
